Bracket,Lower_Range,Upper_Range,Regular_SS,EC_Contribution,MPF,Total
1,1.00,5249.99,250.00,10.00,0.00,260.00
2,5250.00,5749.99,275.00,10.00,0.00,285.00
3,5750.00,6249.99,300.00,10.00,0.00,310.00
4,6250.00,6749.99,325.00,10.00,0.00,335.00
5,6750.00,7249.99,350.00,10.00,0.00,360.00
6,7250.00,7749.99,375.00,10.00,0.00,385.00
7,7750.00,8249.99,400.00,10.00,0.00,410.00
8,8250.00,8749.99,425.00,10.00,0.00,435.00
9,8750.00,9249.99,450.00,10.00,0.00,460.00
10,9250.00,9749.99,475.00,10.00,0.00,485.00
11,9750.00,10249.99,500.00,10.00,0.00,510.00
12,10250.00,10749.99,525.00,10.00,0.00,535.00
13,10750.00,11249.99,550.00,10.00,0.00,560.00
14,11250.00,11749.99,575.00,10.00,0.00,585.00
15,11750.00,12249.99,600.00,10.00,0.00,610.00
16,12250.00,12749.99,625.00,10.00,0.00,635.00
17,12750.00,13249.99,650.00,10.00,0.00,660.00
18,13250.00,13749.99,675.00,10.00,0.00,685.00
19,13750.00,14249.99,700.00,10.00,0.00,710.00
20,14250.00,14749.99,725.00,10.00,0.00,735.00
21,14750.00,15249.99,750.00,30.00,0.00,780.00
22,15250.00,15749.99,775.00,30.00,0.00,805.00
23,15750.00,16249.99,800.00,30.00,0.00,830.00
24,16250.00,16749.99,825.00,30.00,0.00,855.00
25,16750.00,17249.99,850.00,30.00,0.00,880.00
26,17250.00,17749.99,875.00,30.00,0.00,905.00
27,17750.00,18249.99,900.00,30.00,0.00,930.00
28,18250.00,18749.99,925.00,30.00,0.00,955.00
29,18750.00,19249.99,950.00,30.00,0.00,980.00
30,19250.00,19749.99,975.00,30.00,0.00,1005.00
31,19750.00,20249.99,1000.00,30.00,0.00,1030.00
32,20250.00,20749.99,1025.00,30.00,25.00,1080.00
33,20750.00,21249.99,1050.00,30.00,50.00,1130.00
34,21250.00,21749.99,1075.00,30.00,75.00,1180.00
35,21750.00,22249.99,1100.00,30.00,100.00,1230.00
36,22250.00,22749.99,1125.00,30.00,125.00,1280.00
37,22750.00,23249.99,1150.00,30.00,150.00,1330.00
38,23250.00,23749.99,1175.00,30.00,175.00,1380.00
39,23750.00,24249.99,1200.00,30.00,200.00,1430.00
40,24250.00,24749.99,1225.00,30.00,225.00,1480.00
41,24750.00,25249.99,1250.00,30.00,250.00,1530.00
42,25250.00,25749.99,1275.00,30.00,275.00,1580.00
43,25750.00,26249.99,1300.00,30.00,300.00,1630.00
44,26250.00,26749.99,1325.00,30.00,325.00,1680.00
45,26750.00,27249.99,1350.00,30.00,350.00,1730.00
46,27250.00,27749.99,1375.00,30.00,375.00,1780.00
47,27750.00,28249.99,1400.00,30.00,400.00,1830.00
48,28250.00,28749.99,1425.00,30.00,425.00,1880.00
49,28750.00,29249.99,1450.00,30.00,450.00,1930.00
50,29250.00,29749.99,1475.00,30.00,475.00,1980.00
51,29750.00,30249.99,1500.00,30.00,500.00,2030.00
52,30250.00,30749.99,1525.00,30.00,525.00,2080.00
53,30750.00,31249.99,1550.00,30.00,550.00,2130.00
54,31250.00,31749.99,1575.00,30.00,575.00,2180.00
55,31750.00,32249.99,1600.00,30.00,600.00,2230.00
56,32250.00,32749.99,1625.00,30.00,625.00,2280.00
57,32750.00,33249.99,1650.00,30.00,650.00,2330.00
58,33250.00,33749.99,1675.00,30.00,675.00,2380.00
59,33750.00,34249.99,1700.00,30.00,700.00,2430.00
60,34250.00,34749.99,1725.00,30.00,725.00,2480.00
61,34750.00,999999.99,1750.00,30.00,750.00,2530.00
